                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.1215,                 1.4992,                 1.3804,                0.00878,                 0.6512,                0.52604,                0.58134,                0.36874,                 1.2593,                 1.4473,                 1.4873,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.1041,                 1.4617,                 1.3656,                0.00878,                0.61668,                0.52174,                0.56365,                0.35954,                 1.2524,                 1.4787,                 1.4723,                      0,               0.006931,               0.006931,               0.006931
                     33,                  1.089,                 1.4665,                 1.3538,                0.00869,                0.59269,                0.52514,                 0.5487,                0.34254,                 1.2745,                 1.5537,                 1.4944,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0941,                 1.4403,                 1.3569,                0.00864,                0.61908,                0.52854,                0.57022,                0.35599,                 1.2702,                 1.5093,                 1.4923,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0802,                 1.4378,                 1.3529,                0.00879,                0.63892,                0.55027,                0.59081,                0.37461,                 1.2406,                 1.4378,                 1.4667,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0753,                 1.4043,                  1.336,                0.00872,                0.65096,                0.55156,                0.59705,                0.38488,                 1.2326,                 1.3966,                 1.4542,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0708,                 1.3872,                 1.3399,                0.00866,                0.61145,                0.53898,                0.57041,                0.36095,                 1.2733,                 1.4892,                 1.4947,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0659,                 1.4016,                 1.3369,                0.00875,                0.63223,                0.56358,                0.59721,                0.38152,                  1.241,                 1.4104,                 1.4588,                      0,               0.006337,               0.006337,               0.006337
                     39,                  1.075,                 1.3896,                 1.3344,                 0.0086,                0.64625,                0.54686,                0.58894,                 0.3768,                 1.2283,                 1.4143,                 1.4441,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0471,                 1.3469,                 1.3169,                0.00864,                0.67058,                0.52579,                0.58716,                0.37743,                  1.235,                 1.4181,                 1.4592,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0444,                 1.3266,                 1.3145,                 0.0086,                0.63393,                 0.5701,                0.60406,                0.38838,                 1.2284,                 1.3565,                 1.4499,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0418,                 1.3148,                 1.3167,                0.00864,                0.63776,                0.55617,                0.58925,                 0.3797,                 1.2242,                 1.3841,                 1.4429,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0366,                 1.3176,                 1.3136,                0.00858,                0.65562,                0.57187,                0.61281,                0.39367,                 1.2198,                 1.3625,                 1.4463,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0253,                 1.2995,                 1.3062,                0.00853,                0.68268,                0.55142,                 0.6157,                0.39684,                 1.2231,                 1.3967,                 1.4509,                      0,               0.005743,               0.005743,               0.005743
                     45,                  1.033,                 1.2955,                 1.3057,                0.00857,                0.66802,                0.57815,                0.62364,                0.40309,                 1.2197,                  1.339,                 1.4351,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0119,                 1.2646,                 1.2864,                0.00851,                 0.6597,                0.56262,                0.61157,                0.39319,                 1.2133,                 1.3614,                 1.4329,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0071,                 1.2548,                 1.2855,                0.00864,                0.63616,                0.59927,                0.62967,                0.40906,                 1.2056,                 1.3234,                 1.4262,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.0179,                 1.2475,                 1.2867,                0.00848,                0.68413,                0.56956,                0.62815,                0.40964,                 1.2076,                 1.3356,                 1.4271,                      0,               0.005347,               0.005347,               0.005347
                     49,                  1.004,                 1.2436,                 1.2884,                0.00853,                0.64517,                0.58534,                0.62222,                0.40626,                 1.2028,                 1.3361,                  1.427,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.0051,                 1.2413,                 1.2897,                0.00857,                 0.6614,                0.59243,                 0.6285,                0.40839,                 1.2053,                 1.3091,                 1.4286,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99229,                 1.2101,                 1.2798,                0.00844,                0.64953,                0.58629,                0.62114,                0.40443,                 1.2098,                 1.3089,                 1.4348,                      0,                0.00505,                0.00505,                0.00505
