                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.1182,                 1.4832,                 1.3772,                0.00888,                0.58968,                0.54535,                0.56465,                0.35708,                  1.271,                 1.5075,                 1.4881,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.0959,                 1.4482,                 1.3551,                 0.0088,                0.61003,                0.54121,                0.57341,                0.36624,                 1.2442,                 1.4497,                 1.4626,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0919,                 1.4612,                 1.3569,                0.00876,                0.60915,                0.55576,                0.58069,                0.37205,                 1.2313,                 1.4952,                 1.4608,                      0,               0.006832,               0.006832,               0.006832
                     34,                  1.088,                 1.4299,                 1.3563,                0.00875,                0.62144,                0.53843,                0.57311,                0.36089,                 1.2614,                 1.4878,                 1.4766,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0826,                 1.4349,                 1.3577,                 0.0087,                0.64506,                0.56372,                0.59674,                0.38497,                 1.2411,                 1.4117,                 1.4648,                      0,               0.006634,               0.006634,               0.006634
                     36,                  1.073,                 1.3737,                 1.3351,                0.00862,                0.65523,                 0.5607,                0.59699,                0.38199,                 1.2292,                 1.3811,                  1.445,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0643,                 1.3841,                 1.3341,                0.00855,                 0.6461,                0.54098,                0.58972,                0.38246,                 1.2252,                 1.4246,                 1.4527,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0617,                 1.3933,                 1.3337,                0.00846,                0.61748,                0.56203,                0.58754,                0.37622,                 1.2274,                 1.4091,                 1.4552,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0669,                 1.3797,                 1.3357,                 0.0085,                0.61085,                0.55972,                0.58105,                0.37278,                  1.228,                 1.4163,                 1.4601,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0471,                 1.3429,                 1.3166,                 0.0084,                0.64867,                0.55895,                0.60418,                0.39009,                 1.2285,                 1.4019,                 1.4595,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0444,                 1.3265,                  1.317,                0.00829,                0.61986,                0.56615,                0.59467,                0.38469,                 1.2116,                 1.3878,                 1.4458,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0454,                 1.3232,                 1.3241,                0.00837,                0.61063,                0.57607,                0.59105,                0.37721,                 1.2141,                 1.3898,                 1.4395,                      0,               0.005941,               0.005941,               0.005941
                     43,                  1.041,                 1.3244,                 1.3215,                0.00821,                0.61777,                0.55651,                0.58071,                0.37136,                 1.2456,                 1.4479,                 1.4865,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0319,                 1.3131,                 1.3108,                0.00813,                 0.6374,                 0.5719,                0.60199,                0.39142,                 1.2118,                 1.3716,                 1.4407,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0242,                 1.2869,                 1.3056,                0.00818,                0.67534,                0.53855,                0.60505,                0.39206,                 1.2238,                 1.3644,                 1.4445,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0129,                 1.2538,                 1.2876,                0.00813,                0.65821,                0.55754,                0.60536,                0.39395,                  1.203,                 1.3518,                  1.432,                      0,               0.005545,               0.005545,               0.005545
