                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0594,                 3.3839,                 1.3001,                0.01178,                0.52952,                0.25241,                0.25901,                0.17116,                 1.1379,                 2.2814,                 1.3348,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2149,                 2.6473,                 1.4071,                0.01149,                0.42645,                0.37335,                0.34578,                0.20062,                  1.354,                  2.251,                  1.564,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                 1.3101,                 2.5711,                 1.4824,                0.01135,                0.35863,                0.37864,                0.30788,                 0.1644,                 1.4772,                 2.4959,                  1.677,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4044,                 2.6759,                  1.584,                0.01128,                0.31548,                0.33225,                0.26458,                0.13444,                 1.5683,                 2.4194,                 1.7993,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4257,                 2.6653,                 1.6026,                0.01128,                0.31092,                0.35862,                0.28519,                0.14986,                 1.5035,                 2.3285,                  1.732,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4039,                  2.566,                 1.5992,                0.01114,                 0.3751,                 0.3439,                0.30154,                0.15457,                 1.5508,                 2.2833,                 1.7449,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3937,                 2.4997,                 1.5826,                0.01114,                0.38809,                0.35486,                0.32365,                0.17705,                  1.464,                 2.1702,                 1.6808,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3604,                 2.4366,                 1.5665,                0.01095,                0.39372,                0.36489,                0.33462,                0.18504,                 1.4535,                 2.2134,                 1.6706,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3531,                 2.3284,                 1.5575,                0.01092,                0.42615,                  0.405,                 0.3815,                0.20928,                 1.4504,                  2.095,                 1.6875,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3223,                 2.2318,                 1.5283,                0.01072,                0.40953,                0.41125,                0.36913,                0.20413,                 1.4702,                 2.0467,                 1.6755,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3115,                 2.1652,                 1.5215,                0.01068,                0.45432,                0.40617,                0.39385,                0.21778,                 1.4454,                 1.9507,                 1.6326,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2794,                 2.1001,                 1.5057,                0.01055,                0.47579,                 0.4382,                0.42779,                0.25159,                 1.3753,                 1.9034,                 1.5753,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2905,                 2.0792,                 1.5118,                0.01045,                0.47966,                0.42667,                0.42292,                0.24334,                 1.3828,                 1.8994,                 1.6196,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2755,                 2.0638,                 1.5061,                0.01042,                0.51735,                0.42612,                0.43737,                0.25937,                 1.3423,                 1.8176,                 1.5605,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2558,                 1.9923,                 1.4897,                0.01021,                0.47299,                0.45894,                0.43997,                0.24776,                 1.3949,                 1.8791,                 1.6187,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2449,                 1.9364,                 1.4733,                 0.0102,                0.55109,                0.43675,                0.46056,                0.26991,                 1.3606,                 1.7799,                  1.593,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2331,                 1.8897,                 1.4593,                0.01016,                0.49263,                0.46045,                0.45527,                  0.266,                 1.3697,                 1.8154,                 1.5965,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2336,                 1.8825,                 1.4691,                0.01024,                0.55684,                0.45951,                0.48528,                0.29006,                  1.376,                 1.7982,                 1.6036,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2153,                 1.7991,                 1.4501,                0.01009,                0.53991,                0.45384,                0.47481,                 0.2869,                 1.3443,                 1.7554,                 1.5521,                      0,               0.008317,               0.008317,               0.008317
                     19,                    1.2,                 1.7624,                  1.434,                0.00999,                0.57255,                0.47158,                0.49683,                0.29845,                 1.3444,                 1.6884,                 1.5674,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1901,                 1.7463,                 1.4345,                 0.0099,                0.55789,                0.48661,                 0.5087,                0.31046,                 1.3043,                 1.6421,                 1.5152,                      0,               0.008119,               0.008119,               0.008119
                     21,                  1.183,                 1.7149,                 1.4237,                0.00981,                 0.6028,                0.49889,                0.53051,                0.32743,                 1.3134,                 1.6221,                 1.5353,                      0,                0.00802,                0.00802,                0.00802
                     22,                 1.1941,                 1.7108,                 1.4323,                0.00968,                0.57706,                0.47305,                0.50715,                0.30642,                 1.3257,                 1.6718,                 1.5384,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1744,                 1.7006,                 1.4204,                0.00972,                0.60876,                0.52295,                0.55337,                0.34641,                 1.2773,                 1.5447,                 1.4975,                      0,               0.007822,               0.007822,               0.007822
                     24,                 1.1632,                 1.6353,                 1.4075,                0.00951,                0.58292,                0.52021,                0.53524,                0.33379,                 1.2621,                 1.5969,                  1.493,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1441,                 1.6354,                 1.4017,                0.00967,                0.56566,                 0.5158,                0.52548,                0.32789,                 1.2711,                 1.5736,                 1.4942,                      0,               0.007624,               0.007624,               0.007624
