index,image,clean,valid_pixels,hazy_l1,hazy_mse,hazy_psnr,hazy_ssim,dehaze_l1,dehaze_mse,dehaze_psnr,dehaze_ssim,delta_l1,delta_mse,delta_psnr,delta_ssim
1543,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006214.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006214.jpg,307200,0.2993408143520355,0.10387531667947769,9.834876391939693,0.5185446937878927,0.16731047630310059,0.038633398711681366,14.130370838096017,0.45447497566541034,-0.13203033804893494,-0.06524191796779633,4.295494446156324,-0.06406971812248236
1544,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006215.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006215.jpg,307200,0.21697890758514404,0.054052725434303284,12.671824032603922,0.8301668763160706,0.12944422662258148,0.026534443721175194,15.761900126645703,0.7236714959144592,-0.08753468096256256,-0.02751828171312809,3.0900760940417804,-0.10649538040161133
1545,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006216.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006216.jpg,307200,0.2110450565814972,0.06026877090334892,12.199076652657237,0.6995041569073995,0.15431399643421173,0.042063888162374496,13.76090585919345,0.26120176911354065,-0.05673106014728546,-0.018204882740974426,1.5618292065362134,-0.4383023877938589
1546,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006218.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006218.jpg,307200,0.21822544932365417,0.06391575932502747,11.943920472553176,0.7562175591786703,0.1664874106645584,0.0452648289501667,13.442391164320943,0.5224557518959045,-0.051738038659095764,-0.018650930374860764,1.4984706917677677,-0.23376180728276574
1547,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006219.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006219.jpg,307200,0.2437180131673813,0.07043682783842087,11.522002109570424,0.6722078720728556,0.1392161101102829,0.02837124466896057,15.471216109435218,0.2589110980431239,-0.10450190305709839,-0.0420655831694603,3.949213999864794,-0.4132967740297317
1548,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006220.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006220.jpg,307200,0.22704347968101501,0.06735098361968994,11.716560572908952,0.690626303354899,0.16828231513500214,0.048497699201107025,13.142788644485634,0.42998939752578735,-0.05876116454601288,-0.018853284418582916,1.4262280715766824,-0.2606369058291117
1549,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006222.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006222.jpg,307200,0.1870977282524109,0.04799037426710129,13.188458630806432,0.7388765414555868,0.11281677335500717,0.021490661427378654,16.677502178338145,0.39866207043329877,-0.07428095489740372,-0.026499712839722633,3.489043547531713,-0.340214471022288
1550,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006233.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006233.jpg,307200,0.14887505769729614,0.03267987072467804,14.85719670122181,0.8551681836446127,0.1900414228439331,0.05211235582828522,12.830592933636897,0.5732064843177795,0.04116636514663696,0.019432485103607178,-2.0266037675849127,-0.2819616993268331
1551,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006234.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006234.jpg,307200,0.18934114277362823,0.04425140470266342,13.540729386399944,0.8344762325286865,0.08986764401197433,0.012985305860638618,18.865478163832986,0.637462337811788,-0.0994734987616539,-0.0312660988420248,5.324748777433042,-0.19701389471689856
1552,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\006235.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\006235.jpg,307200,0.1958707571029663,0.06247759237885475,12.04275714673721,0.6995219588279724,0.2284737378358841,0.07049780339002609,11.518244147880717,0.47438348333040875,0.032602980732917786,0.008020211011171341,-0.524512998856494,-0.22513847549756366
