                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0558,                 3.3666,                 1.3027,                0.00676,                0.39921,                0.30831,                0.31905,                0.21496,                 1.0615,                 2.0954,                 1.2719,                      0,               0.070048,               0.003328,               0.003328
                      1,                 1.2123,                 2.6057,                 1.4087,                0.00665,                0.41735,                0.43392,                0.37845,                0.22253,                 1.2962,                 2.1662,                 1.4792,                      0,               0.039982,              0.0065954,              0.0065954
                      2,                  1.305,                 2.5829,                 1.4775,                0.00663,                0.29714,                0.27322,                0.19047,                 0.0951,                 1.6424,                 2.9145,                 1.8884,                      0,                0.00985,              0.0097968,              0.0097968
                      3,                 1.4167,                 2.7322,                  1.586,                0.00642,                0.28656,                0.31505,                0.23174,                0.11744,                 1.6667,                 2.5888,                 1.9089,                      0,               0.009703,               0.009703,               0.009703
                      4,                 1.4247,                 2.6555,                 1.6047,                0.00638,                0.37226,                0.35014,                0.27054,                0.14461,                 1.5108,                 2.5418,                 1.7144,                      0,               0.009703,               0.009703,               0.009703
                      5,                 1.4145,                 2.5673,                 1.5979,                0.00631,                0.37012,                0.28265,                0.24479,                0.12538,                 1.7061,                 2.5911,                 1.9716,                      0,               0.009604,               0.009604,               0.009604
                      6,                 1.3999,                 2.4912,                 1.5804,                0.00618,                0.39463,                0.38986,                 0.3448,                0.19232,                 1.4573,                 2.2058,                 1.6599,                      0,               0.009505,               0.009505,               0.009505
                      7,                 1.3729,                 2.4275,                 1.5713,                0.00607,                0.41862,                0.37785,                0.34592,                0.19142,                 1.4422,                 2.1522,                  1.685,                      0,               0.009406,               0.009406,               0.009406
                      8,                 1.3513,                 2.3251,                 1.5568,                0.00594,                0.44518,                0.40117,                  0.374,                0.20913,                 1.4109,                 2.1277,                 1.6185,                      0,               0.009307,               0.009307,               0.009307
                      9,                 1.3222,                  2.255,                 1.5306,                0.00585,                0.40122,                0.32152,                0.29663,                0.15789,                 1.5477,                 2.3522,                 1.8236,                      0,               0.009208,               0.009208,               0.009208
                     10,                 1.3105,                 2.1726,                 1.5209,                0.00579,                0.46069,                0.41731,                0.40381,                0.23371,                 1.3973,                 1.9258,                 1.6016,                      0,               0.009109,               0.009109,               0.009109
                     11,                 1.2906,                 2.1307,                  1.514,                0.00567,                0.51176,                0.43827,                0.43339,                 0.2513,                 1.3691,                 1.8509,                 1.5845,                      0,                0.00901,                0.00901,                0.00901
                     12,                 1.2928,                 2.0816,                 1.5083,                0.00559,                0.49575,                0.45626,                0.44765,                0.25989,                 1.3603,                 1.8069,                 1.5735,                      0,               0.008911,               0.008911,               0.008911
                     13,                 1.2779,                 2.0615,                 1.4994,                 0.0056,                0.54519,                0.41534,                0.44598,                0.26131,                 1.3581,                 1.8476,                 1.5861,                      0,               0.008812,               0.008812,               0.008812
                     14,                 1.2588,                 1.9958,                 1.4903,                 0.0055,                0.47481,                0.43807,                0.43458,                0.25297,                 1.3733,                 1.8417,                 1.6031,                      0,               0.008713,               0.008713,               0.008713
                     15,                 1.2512,                 1.9478,                 1.4758,                0.00537,                0.53486,                0.46613,                0.47189,                 0.2786,                 1.3294,                 1.7487,                 1.5585,                      0,               0.008614,               0.008614,               0.008614
                     16,                 1.2333,                 1.8945,                 1.4677,                0.00532,                0.51557,                0.45638,                0.46332,                0.27417,                 1.3436,                 1.8236,                 1.5941,                      0,               0.008515,               0.008515,               0.008515
                     17,                 1.2244,                 1.8808,                 1.4642,                0.00524,                0.57741,                0.47841,                0.51238,                0.30588,                 1.3238,                 1.6669,                 1.5457,                      0,               0.008416,               0.008416,               0.008416
                     18,                 1.2205,                 1.8036,                 1.4519,                0.00521,                0.54525,                0.48654,                 0.4948,                0.29633,                 1.3302,                 1.6724,                 1.5369,                      0,               0.008317,               0.008317,               0.008317
                     19,                 1.1969,                 1.7706,                  1.433,                0.00516,                0.56522,                0.48642,                0.50308,                0.30088,                  1.332,                 1.6503,                 1.5557,                      0,               0.008218,               0.008218,               0.008218
                     20,                 1.1849,                 1.7468,                  1.433,                0.00509,                0.53664,                0.47641,                 0.4719,                0.28501,                 1.3283,                 1.7334,                 1.5479,                      0,               0.008119,               0.008119,               0.008119
                     21,                 1.1809,                 1.7087,                 1.4214,                0.00502,                0.55574,                0.48289,                0.49381,                0.29689,                 1.3316,                 1.6737,                 1.5603,                      0,                0.00802,                0.00802,                0.00802
                     22,                  1.198,                 1.7131,                 1.4331,                  0.005,                0.59362,                0.48322,                0.51688,                0.31305,                 1.3258,                 1.6353,                 1.5463,                      0,               0.007921,               0.007921,               0.007921
                     23,                 1.1726,                 1.6842,                 1.4161,                0.00495,                0.58812,                0.51697,                0.53711,                0.33293,                 1.2816,                 1.5482,                 1.5003,                      0,               0.007822,               0.007822,               0.007822
                     24,                   1.17,                  1.641,                  1.407,                0.00501,                0.58635,                0.50726,                0.52763,                0.32683,                 1.2675,                 1.5796,                 1.4877,                      0,               0.007723,               0.007723,               0.007723
                     25,                 1.1402,                 1.6334,                 1.3956,                0.00488,                    0.6,                0.51028,                0.53943,                0.33605,                  1.271,                 1.5609,                  1.496,                      0,               0.007624,               0.007624,               0.007624
                     26,                 1.1372,                 1.6011,                 1.3843,                0.00489,                0.59641,                0.51322,                0.54414,                0.34153,                  1.283,                 1.5461,                 1.5117,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.1427,                 1.5682,                 1.3971,                0.00488,                0.60108,                0.52943,                0.56066,                0.35301,                 1.2518,                 1.5002,                 1.4689,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.1196,                 1.5271,                 1.3677,                0.00481,                0.57772,                 0.5193,                0.54182,                0.33619,                 1.2833,                 1.5341,                 1.4934,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.1385,                 1.5456,                 1.3847,                0.00479,                0.62483,                0.54322,                0.58459,                0.36776,                 1.2486,                 1.4474,                 1.4721,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.1097,                 1.5264,                  1.365,                0.00479,                0.62655,                0.53536,                0.56996,                0.35713,                 1.2527,                 1.4778,                 1.4784,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.1142,                 1.5055,                 1.3813,                0.00473,                0.61602,                0.54241,                0.57795,                0.36883,                 1.2431,                 1.4664,                 1.4716,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.0984,                 1.4539,                 1.3541,                0.00471,                0.63754,                0.52097,                0.57427,                0.36581,                 1.2362,                 1.4531,                 1.4561,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0924,                 1.4563,                 1.3553,                0.00464,                0.60682,                0.54196,                0.57479,                 0.3629,                 1.2481,                 1.4688,                 1.4775,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0847,                 1.4365,                 1.3491,                0.00462,                0.62394,                0.55681,                0.57728,                0.36491,                 1.2547,                  1.431,                 1.4733,                      0,               0.006733,               0.006733,               0.006733
                     35,                  1.081,                 1.4303,                 1.3531,                0.00467,                0.63149,                0.54153,                0.57964,                0.36908,                 1.2313,                 1.4466,                 1.4553,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0757,                 1.4012,                 1.3376,                0.00465,                0.62331,                0.54129,                0.57254,                0.36174,                 1.2552,                 1.4516,                 1.4796,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0656,                 1.3761,                 1.3362,                0.00463,                0.63705,                0.53695,                0.58204,                0.36929,                 1.2489,                 1.4417,                 1.4636,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0595,                 1.3966,                 1.3326,                0.00464,                0.65236,                0.53252,                 0.5768,                 0.3657,                 1.2389,                 1.4218,                 1.4708,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0668,                  1.381,                 1.3322,                0.00459,                0.61615,                0.55806,                0.58757,                0.37545,                 1.2325,                 1.3921,                  1.457,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0446,                 1.3537,                 1.3172,                0.00456,                0.65103,                0.56201,                 0.6035,                0.39101,                 1.2211,                 1.3913,                 1.4463,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0419,                 1.3295,                 1.3159,                0.00455,                0.62368,                0.56417,                0.59092,                0.37795,                 1.2185,                 1.3933,                  1.449,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0501,                 1.3175,                 1.3244,                0.00456,                0.66411,                0.56613,                0.61429,                0.38981,                 1.2199,                 1.3539,                 1.4375,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0363,                  1.323,                 1.3165,                0.00455,                 0.6718,                0.55808,                0.61176,                0.39755,                  1.212,                 1.3671,                 1.4396,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0287,                 1.3091,                 1.3117,                0.00449,                0.66857,                0.57137,                0.61571,                 0.3963,                  1.226,                  1.389,                 1.4528,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0302,                 1.2936,                 1.3083,                0.00452,                0.68898,                0.54841,                0.61841,                 0.4028,                  1.208,                 1.3444,                 1.4297,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0109,                 1.2528,                  1.286,                0.00449,                0.65811,                0.56438,                0.61537,                0.39918,                 1.2044,                 1.3361,                 1.4323,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0089,                 1.2546,                 1.2885,                0.00458,                0.66241,                0.57714,                0.62181,                0.40783,                  1.199,                 1.3167,                 1.4312,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.0117,                 1.2351,                 1.2848,                0.00446,                0.67638,                0.56103,                0.61989,                0.40357,                 1.2031,                 1.3277,                 1.4209,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0009,                 1.2352,                 1.2856,                0.00448,                0.66021,                0.56891,                0.62337,                0.40738,                 1.1946,                 1.3286,                  1.425,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.99841,                 1.2311,                 1.2799,                0.00451,                0.65457,                0.57488,                 0.6208,                0.40609,                 1.2101,                 1.3262,                 1.4303,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99382,                 1.2159,                 1.2798,                0.00445,                0.64376,                0.59105,                0.62753,                0.40623,                 1.2067,                 1.3217,                 1.4279,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.97967,                 1.2091,                 1.2675,                0.00441,                0.65453,                0.59188,                0.63027,                0.41131,                 1.1906,                 1.3026,                 1.4261,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.98412,                 1.1887,                 1.2715,                0.00447,                 0.6693,                0.57282,                0.62956,                0.41268,                 1.1894,                 1.2914,                 1.4068,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.97908,                 1.1687,                 1.2688,                0.00446,                  0.675,                0.57904,                0.63323,                0.41446,                 1.1922,                 1.3014,                 1.4163,                      0,               0.004753,               0.004753,               0.004753
