index,image,clean,valid_pixels,hazy_l1,hazy_mse,hazy_psnr,hazy_ssim,dehaze_l1,dehaze_mse,dehaze_psnr,dehaze_ssim,delta_l1,delta_mse,delta_psnr,delta_ssim
0,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000005.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000005.jpg,307200,0.22610297799110413,0.07139567285776138,11.463281091053988,0.6648320953051249,0.16081750392913818,0.03740943223237991,14.2701888309331,0.420023113489151,-0.06528547406196594,-0.03398624062538147,2.8069077398791116,-0.24480898181597388
1,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000007.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000007.jpg,272640,0.23138242959976196,0.07686450332403183,11.142741747573844,0.5941778818766276,0.18519480526447296,0.048640165477991104,13.130049562259432,0.28746263186136883,-0.046187624335289,-0.028224337846040726,1.9873078146855878,-0.30671525001525873
2,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000009.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000009.jpg,307200,0.239149272441864,0.07070019096136093,11.505794131712292,0.6570052703221639,0.1366753727197647,0.029576299712061882,15.290561614802861,0.3047126332918803,-0.1024738997220993,-0.04112389124929905,3.784767483090569,-0.35229263703028363
3,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000016.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000016.jpg,273920,0.19940462708473206,0.058302249759435654,12.343146864201115,0.6434160470962524,0.20980608463287354,0.061810191720724106,12.089399093264174,0.13382809360822043,0.01040145754814148,0.003507941961288452,-0.25374777093694156,-0.509587953488032
4,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000019.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000019.jpg,307200,0.17796355485916138,0.04352068156003952,13.613043119439185,0.8628817001978556,0.1294996440410614,0.02483978308737278,16.04852200941849,0.7027912338574728,-0.048463910818099976,-0.01868089847266674,2.435478889979306,-0.16009046634038282
5,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000020.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000020.jpg,307200,0.29098063707351685,0.10419906675815582,9.821361707063428,0.4980588455994924,0.20413738489151,0.0584215372800827,12.334270193673804,0.2903049091498057,-0.08684325218200684,-0.04577752947807312,2.5129084866103764,-0.20775393644968665
6,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000021.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000021.jpg,275200,0.2009577751159668,0.05508740246295929,12.58947705437524,0.6922297477722168,0.1557447463274002,0.0350981205701828,14.547161384587323,0.3288060824076335,-0.04521302878856659,-0.01998928189277649,1.957684330212082,-0.3634236653645833
7,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000024.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000024.jpg,274560,0.16684755682945251,0.049564700573682785,13.048275131029287,0.7374339699745178,0.1758037656545639,0.04696040600538254,13.282681569662548,0.346047302087148,0.00895620882511139,-0.002604294568300247,0.23440643863326116,-0.3913866678873698
8,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000030.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000030.jpg,307200,0.13111688196659088,0.031207367777824402,15.057428608692787,0.7937362790107727,0.18540790677070618,0.048528820276260376,13.140002661489172,0.3547012408574422,0.054291024804115295,0.017321452498435974,-1.9174259472036148,-0.4390350381533305
9,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000039.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000039.jpg,307200,0.1485806256532669,0.03300183266401291,14.814619421291397,0.8586934010187784,0.12262435257434845,0.024095645174384117,16.180614407292946,0.6191505193710327,-0.025956273078918457,-0.008906187489628792,1.3659949860015494,-0.23954288164774573
10,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000041.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000041.jpg,272640,0.2699053883552551,0.09086150676012039,10.416200655383417,0.5705090363820394,0.19715920090675354,0.05548754334449768,12.558045027141542,0.3972063859303792,-0.07274618744850159,-0.03537396341562271,2.1418443717581255,-0.1733026504516602
11,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000046.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000046.jpg,272000,0.2382172793149948,0.06941590458154678,11.58541012532973,0.6483060121536255,0.1553204208612442,0.03671300411224365,14.351800770598803,0.35806899269421893,-0.08289685845375061,-0.03270290046930313,2.766390645269073,-0.29023701945940655
12,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000050.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000050.jpg,307200,0.19540895521640778,0.050058986991643906,13.005179431495007,0.7953658501307169,0.1384822130203247,0.031673699617385864,14.993012062972939,0.5406598448753357,-0.05692674219608307,-0.01838528737425804,1.9878326314779322,-0.25470600525538123
13,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000051.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000051.jpg,307200,0.30444321036338806,0.11669240146875381,9.32957422511868,0.4790402253468831,0.2272915095090866,0.07260309159755707,11.390448857024943,0.3118438422679901,-0.07715170085430145,-0.04408930987119675,2.0608746319062625,-0.167196383078893
14,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000052.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000052.jpg,272640,0.12790322303771973,0.026356177404522896,15.791175778604984,0.8432400822639465,0.1382739096879959,0.029907118529081345,15.242254280653938,0.47649986545244855,0.010370686650276184,0.003550941124558449,-0.5489214979510457,-0.366740216811498
15,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000060.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000060.jpg,273920,0.23744942247867584,0.07760192453861237,11.10127508044192,0.5639484226703644,0.22012411057949066,0.06533840298652649,11.848314848378578,0.261055847009023,-0.01732531189918518,-0.012263521552085876,0.7470397679366592,-0.30289257566134137
16,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000063.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000063.jpg,307200,0.21533483266830444,0.0567990280687809,12.45659095767444,0.6930774847666422,0.12652386724948883,0.026720145717263222,15.731611777821666,0.3080691993236542,-0.08881096541881561,-0.030078882351517677,3.275020820147226,-0.38500828544298804
17,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000065.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000065.jpg,274560,0.18491098284721375,0.0402364581823349,13.953802550785108,0.849177896976471,0.08271751552820206,0.011395775713026524,19.432561069539275,0.6835624178250631,-0.10219346731901169,-0.028840682469308376,5.478758518754168,-0.16561547915140784
18,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000072.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000072.jpg,272640,0.18386757373809814,0.04925139248371124,13.075814861929107,0.7350729703903198,0.14984385669231415,0.03284867852926254,14.834820970020084,0.455884446700414,-0.034023717045784,-0.0164027139544487,1.7590061080909773,-0.2791885236899058
19,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000081.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000081.jpg,272640,0.30309250950813293,0.11070970445871353,9.558143085869965,0.4429563134908676,0.21710996329784393,0.06187150627374649,12.085093108684205,0.30072033653656643,-0.085982546210289,-0.04883819818496704,2.5269500228142405,-0.14223597695430118
20,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000093.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000093.jpg,277760,0.1530553102493286,0.038713693618774414,14.121353912817625,0.7782353162765503,0.18555548787117004,0.05093160271644592,12.930126572234538,0.49529263377189636,0.03250017762184143,0.012217909097671509,-1.1912273405830867,-0.28294268250465393
21,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000095.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000095.jpg,264320,0.13586202263832092,0.03167285397648811,14.993128014719247,0.7949236631393433,0.15898865461349487,0.040574491024017334,13.917469193599466,0.4458322823047638,0.02312663197517395,0.00890163704752922,-1.0756588211197808,-0.34909138083457947
22,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000099.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000099.jpg,307200,0.22431157529354095,0.07007535547018051,11.544346905231338,0.7073373595873514,0.14762695133686066,0.030633850023150444,15.137984181873918,0.47426900267601013,-0.0766846239566803,-0.03944150544703007,3.59363727664258,-0.2330683569113413
23,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\images\val\000101.jpg,C:\Python\project\ultralytics-yolov8-official\datasets\VOC_hazy\clean\val\000101.jpg,272640,0.1068488135933876,0.021561339497566223,16.663242621155874,0.878327469031016,0.13890233635902405,0.031018033623695374,15.083857375813094,0.5589707692464193,0.032053522765636444,0.00945669412612915,-1.5793852453427792,-0.3193566997845967
