                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,      train/dehaze_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,        val/dehaze_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.1148,                 1.4895,                 1.3816,                 0.0087,                0.60743,                0.54862,                0.57338,                0.36269,                 1.2611,                 1.4803,                 1.4836,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.0942,                 1.4469,                 1.3555,                0.00864,                0.62629,                0.54069,                0.57421,                0.36669,                 1.2403,                 1.4815,                 1.4725,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0849,                 1.4701,                 1.3533,                0.00861,                0.60574,                0.54076,                0.56567,                0.35655,                  1.257,                 1.5133,                 1.4873,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0937,                 1.4405,                  1.357,                 0.0085,                0.62391,                0.54243,                0.58948,                0.36462,                 1.2697,                 1.4728,                 1.4847,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0721,                 1.4243,                 1.3506,                0.00853,                0.62658,                0.55035,                 0.5934,                0.37827,                 1.2409,                   1.45,                 1.4815,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0813,                 1.3932,                 1.3388,                0.00846,                0.63635,                0.56224,                 0.6022,                0.38191,                 1.2287,                 1.3941,                  1.444,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.0703,                 1.3905,                 1.3415,                0.00846,                 0.6116,                0.56018,                0.58881,                0.37413,                 1.2397,                 1.4315,                 1.4664,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.0622,                 1.3942,                 1.3344,                0.00837,                0.62957,                0.55972,                0.59206,                0.37781,                 1.2362,                  1.411,                 1.4551,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.0721,                 1.3857,                 1.3399,                0.00845,                0.63523,                0.54938,                0.58927,                0.37214,                 1.2335,                 1.4177,                  1.459,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.0435,                 1.3457,                 1.3196,                 0.0084,                0.62502,                0.56763,                0.58781,                0.37834,                 1.2142,                 1.4265,                 1.4532,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.0454,                 1.3282,                 1.3236,                0.00836,                0.64599,                0.56085,                0.60056,                0.37953,                 1.2281,                 1.3995,                 1.4628,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.0431,                 1.3107,                  1.326,                0.00838,                0.63304,                0.54656,                0.58386,                0.36934,                 1.2512,                 1.4161,                 1.4753,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.0368,                 1.3257,                 1.3176,                0.00823,                0.66675,                0.56286,                0.62059,                0.40331,                 1.2058,                 1.3449,                 1.4402,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.0328,                 1.3163,                 1.3151,                0.00816,                0.61206,                0.57319,                0.59677,                0.38473,                 1.2199,                 1.3862,                 1.4484,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.0308,                 1.3012,                 1.3092,                0.00825,                 0.6471,                0.57199,                0.60977,                0.39472,                 1.2204,                 1.3701,                  1.453,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.0172,                 1.2608,                 1.2977,                0.00814,                0.65933,                0.56898,                0.60892,                0.39441,                 1.2097,                 1.3416,                 1.4343,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.0146,                 1.2534,                 1.2985,                0.00807,                0.63785,                0.58344,                0.61354,                 0.3967,                 1.2111,                 1.3513,                 1.4398,                      0,               0.005446,               0.005446,               0.005446
                     48,                  1.016,                 1.2412,                 1.2874,                 0.0081,                0.67227,                0.57793,                0.62786,                0.40785,                 1.2017,                 1.3284,                 1.4261,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.0043,                 1.2246,                 1.2894,                0.00814,                0.65555,                 0.5812,                0.62627,                0.40591,                 1.2051,                 1.3532,                 1.4359,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.99964,                 1.2345,                 1.2892,                0.00813,                0.67015,                0.58928,                0.63609,                0.41364,                 1.1971,                 1.3011,                 1.4218,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.99372,                 1.2085,                 1.2837,                0.00808,                0.68412,                0.57252,                0.63225,                0.41651,                 1.1998,                 1.2991,                 1.4248,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.98531,                 1.1974,                 1.2711,                0.00805,                0.65515,                0.58688,                0.62913,                0.40951,                 1.1937,                  1.328,                 1.4233,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.98566,                 1.1829,                 1.2749,                0.00807,                0.66363,                0.57623,                 0.6255,                0.40894,                 1.2031,                 1.2982,                 1.4233,                      0,               0.004852,               0.004852,               0.004852
                     54,                 0.9753,                 1.1643,                 1.2698,                0.00806,                0.68941,                0.58126,                0.64046,                0.42143,                 1.1935,                 1.2917,                 1.4265,                      0,               0.004753,               0.004753,               0.004753
                     55,                 0.9789,                 1.1683,                 1.2581,                0.00807,                0.67526,                0.58465,                0.63307,                0.41335,                 1.1994,                 1.3146,                  1.435,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.96754,                 1.1525,                 1.2641,                0.00798,                 0.6713,                0.59148,                0.63986,                 0.4203,                 1.1815,                 1.2856,                 1.4138,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.96097,                 1.1328,                 1.2522,                0.00797,                0.72081,                 0.5677,                0.64456,                0.42439,                 1.1834,                  1.286,                 1.4071,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.95273,                 1.1346,                 1.2493,                0.00789,                0.67256,                0.59828,                0.64904,                0.42641,                 1.1856,                 1.2571,                 1.4094,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.95722,                 1.1155,                  1.249,                0.00795,                0.67595,                0.58292,                0.63437,                0.41172,                 1.1892,                 1.2978,                 1.4143,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.94558,                 1.1114,                 1.2443,                0.00788,                0.72552,                0.57158,                0.64294,                0.42574,                 1.1825,                 1.2712,                 1.4106,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.94422,                 1.0957,                 1.2516,                0.00793,                0.66806,                0.59548,                0.63583,                0.41954,                 1.1874,                 1.2869,                 1.4184,                      0,                0.00406,                0.00406,                0.00406
                     62,                 0.9431,                 1.1032,                 1.2477,                0.00792,                0.64745,                0.61969,                0.63193,                0.41928,                 1.1757,                 1.3035,                 1.4069,                      0,               0.003961,               0.003961,               0.003961
                     63,                 0.9234,                 1.1044,                 1.2316,                0.00786,                0.67713,                0.59756,                0.63757,                0.42203,                 1.1833,                 1.2677,                 1.4158,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.92677,                 1.0807,                 1.2362,                0.00788,                0.69222,                0.59505,                0.65122,                0.43187,                 1.1691,                 1.2408,                 1.3936,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.92379,                 1.0606,                 1.2269,                0.00783,                0.68072,                0.60782,                0.64626,                0.42621,                 1.1803,                 1.2578,                 1.4075,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.92976,                 1.0612,                 1.2315,                0.00789,                0.68625,                0.60658,                0.65052,                0.42797,                 1.1835,                 1.2471,                  1.407,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.91413,                 1.0492,                  1.219,                0.00785,                0.68563,                0.59986,                0.64438,                0.42721,                 1.1699,                 1.2509,                 1.4005,                      0,               0.003466,               0.003466,               0.003466
                     68,                 0.9056,                  1.042,                 1.2172,                0.00783,                0.70805,                0.59924,                0.65435,                0.43465,                 1.1742,                 1.2364,                 1.4008,                      0,               0.003367,               0.003367,               0.003367
